page,hizbQuarter,surah,ayah,first_word,last_codepoint,glyph_name,advance,xMax,clearance
1,1,1,1,ﱁ,0xfc41,uniFC41,5096,4856,240
5,2,2,26,ﱨﱩ,0xfc69,uniFC69,4018,3778,240
7,3,2,44,ﲓﲔ,0xfc94,uniFC94,9015,8775,240
9,4,2,60,ﱪﱫ,0xfc6b,uniFC6B,2793,2553,240
11,5,2,75,ﲱﲲ,0xfcb2,uniFCB2,8199,7959,240
14,6,2,92,ﲛﲜ,0xfc9c,uniFC9C,4779,4539,240
17,7,2,106,ﱁﱂ,0xfc42,uniFC42,2153,1913,240
19,8,2,124,ﲓﲔ,0xfc94,uniFC94,3002,2762,240
22,9,2,142,ﱁﱂ,0xfc42,uniFC42,5900,5339,561
24,10,2,158,ﱴﱵ,0xfc75,uniFC75,2521,2281,240
27,11,2,177,ﱁﱂ,0xfc42,uniFC42,3577,3337,240
29,12,2,189,ﲝﲞ,0xfc9e,uniFC9E,8854,8614,240
32,13,2,203,ﱁﱂ,0xfc42,uniFC42,8676,8436,240
34,14,2,219,ﲱﲲ,0xfcb2,uniFCB2,6475,6235,240
37,15,2,233,ﲙﲚ,0xfc9a,uniFC9A,6900,6660,240
39,16,2,243,ﲉﲊ,0xfc8a,uniFC8A,2506,2266,240
42,17,2,253,ﱁﱂ,0xfc42,uniFC42,3930,3690,240
44,18,2,263,ﲡﲢ,0xfca2,uniFCA2,3031,2791,240
46,19,2,272,ﱪﱫ,0xfc6b,uniFC6B,4449,4209,240
49,20,2,283,ﱁﱂ,0xfc42,uniFC42,3152,2912,240
51,21,3,15,ﲫﲬ,0xfcac,uniFCAC,2818,2578,240
54,22,3,33,ﱻﱼ,0xfc7c,uniFC7C,2582,2342,240
56,23,3,52,ﲹﲺ,0xfcba,uniFCBA,3822,3582,240
59,24,3,75,ﲋﲌ,0xfc8c,uniFC8C,3537,3297,240
62,25,3,93,ﱒﱓ,0xfc53,uniFC53,2932,2692,240
64,26,3,113,ﲛﲜ,0xfc9c,uniFC9C,5016,4776,240
67,27,3,133,ﱁﱂ,0xfc42,uniFC42,8147,7907,240
69,28,3,153,ﲚﲛ,0xfc9b,uniFC9B,2442,2202,240
72,29,3,171,ﲧﲨ,0xfca8,uniFCA8,8355,8115,240
74,30,3,186,ﲩﲪ,0xfcaa,uniFCAA,9236,8996,240
77,31,4,1,ﱁ,0xfc41,uniFC41,4033,3793,240
79,32,4,12,ﱁﱂ,0xfc42,uniFC42,7267,7027,240
82,33,4,24,ﱁﱂ,0xfc42,uniFC42,11094,10854,240
84,34,4,36,ﲆﲇ,0xfc87,uniFC87,8509,8269,240
87,35,4,58,ﲧﲨ,0xfca8,uniFCA8,2708,2468,240
89,36,4,74,ﲶﲷ,0xfcb7,uniFCB7,7070,6830,240
92,37,4,88,ﱕﱖ,0xfc56,uniFC56,2486,2246,240
94,38,4,100,ﲩﲪ,0xfcaa,uniFCAA,3512,3272,240
97,39,4,114,ﱁﱂ,0xfc42,uniFC42,1756,1516,240
100,40,4,135,ﱁﱂ,0xfc42,uniFC42,4179,3939,240
102,41,4,148,ﱁﱂ,0xfc42,uniFC42,2047,1807,240
104,42,4,163,ﱁﱂ,0xfc42,uniFC42,2573,2333,240
106,43,5,1,ﱺ,0xfc7a,uniFC7A,4310,4070,240
109,44,5,12,ﱣﱤ,0xfc64,uniFC64,4373,4133,240
112,45,5,27,ﱳﱴ,0xfc74,uniFC74,3848,3608,240
114,46,5,41,ﲃﲄ,0xfc84,uniFC84,5529,5289,240
117,47,5,51,ﱁﱂ,0xfc42,uniFC42,3910,3670,240
